department,promoted,review,projects,salary,tenure,satisfaction,bonus,avg_hrs_month,left
IT,0,0.615664,3,high,8,0.360166846,1,187.8774019,1
operations,0,0.621815453,4,medium,9,0.395953635,0,191.5613839,0
sales,0,0.542932898,3,medium,9,0.514975652,0,193.0053465,0
admin,0,0.903031835,2,medium,3,0.363614598,0,175.3674138,1
logistics,0,0.666000109,4,medium,6,0.500769629,1,182.3172637,0
sales,0,0.650463091,4,medium,7,0.561846729,0,187.3857681,1
marketing,0,0.767896172,3,medium,6,0.289945273,0,182.790814,1
engineering,0,0.727164553,4,medium,6,0.429784559,0,183.1568955,1
sales,0,0.564864029,3,medium,5,0.826654134,1,178.6792113,0
sales,0,0.597624059,4,medium,7,0.776334652,0,186.5436896,1
marketing,0,0.68971678,3,low,5,0.597257471,0,179.1773813,0
engineering,0,0.592418269,3,medium,7,0.632841743,0,185.0661202,0
support,0,0.746515895,3,low,8,0.469786315,1,189.4602548,1
engineering,0,0.6880107,3,medium,5,0.620932605,0,181.2794418,0
engineering,0,0.681245809,3,low,6,0.472697665,0,182.3964094,0
support,0,0.575285088,3,high,5,0.841860409,1,181.1998213,0
IT,0,0.587608154,3,medium,7,0.67900017,0,186.8028004,1
operations,0,0.581614962,3,medium,7,0.414270059,0,187.1330893,0
sales,0,0.50804799,5,medium,8,0.494115483,0,188.6033694,0
marketing,0,0.746929358,4,medium,6,0.4893354,0,181.809012,0
retail,0,0.757673339,3,high,6,0.336583333,1,183.3432778,1
engineering,0,0.610776542,3,medium,5,0.737592685,0,179.308366,0
retail,0,0.597432802,3,medium,6,0.583763684,0,182.9923058,0
marketing,0,0.72979194,3,medium,8,0.303650885,0,189.3198451,0
admin,0,0.577158354,3,low,7,0.808619549,0,186.7745579,1
engineering,0,0.650747421,4,low,8,0.41394876,0,189.2562576,0
support,0,0.681310507,4,low,8,0.598885024,1,188.3310028,1
retail,0,0.728207017,3,medium,5,0.493951329,0,180.5897427,1
retail,0,0.560980578,4,medium,5,0.819147491,0,180.3719365,0
retail,0,0.722493023,4,low,6,0.523750924,0,183.1806939,0
engineering,0,0.553734538,4,low,8,0.409180939,0,189.2408186,0
admin,0,0.604927404,4,medium,6,0.659323779,0,182.6943652,0
engineering,0,0.548688819,3,low,8,0.494284182,0,187.7552946,1
sales,0,0.563342942,3,medium,7,0.643525118,1,186.5518058,1
logistics,0,0.606481651,3,medium,9,0.56203684,0,192.7395968,0
retail,0,0.699952408,3,medium,4,0.550446154,0,176.3129082,0
retail,0,0.590142871,4,high,7,0.635416503,1,187.242309,1
retail,0,0.649370799,4,medium,8,0.370008302,0,189.7556053,1
retail,0,0.609400115,3,medium,5,0.664730604,1,179.4535224,0
engineering,0,0.547913316,4,medium,6,0.365562829,0,182.7721859,0
finance,0,0.59888103,3,low,6,0.716920644,0,182.1786604,0
sales,0,0.77394512,3,medium,7,0.358582407,0,187.1719797,0
sales,0,0.749718618,3,medium,5,0.460033027,0,181.252157,1
engineering,0,0.658752842,3,high,10,0.556382096,0,194.652357,0
admin,0,0.675773572,3,medium,6,0.391276944,0,183.9739948,1
operations,0,0.636595786,4,medium,8,0.52795745,0,187.7774098,1
logistics,1,0.625547828,3,medium,9,0.467381148,0,192.1881425,0
logistics,0,0.874384513,3,low,3,0.413101213,0,174.1457192,1
engineering,0,0.597433077,4,medium,5,0.618291438,0,180.4011983,0
operations,0,0.704767431,3,medium,6,0.39766312,1,184.0370588,1
retail,0,0.764214983,3,medium,6,0.523486396,0,182.7395416,0
support,0,0.677850391,3,low,7,0.487406181,0,187.129007,0
support,0,0.657867137,3,high,8,0.422366544,0,188.2879135,0
sales,0,0.567547031,3,medium,7,0.438061372,0,187.0510317,0
operations,0,0.890445492,3,low,4,0.291648252,0,178.3544754,1
marketing,0,0.608668454,3,medium,8,0.552840839,1,190.039819,0
operations,0,0.747643847,4,medium,6,0.2994473,0,183.6648982,1
support,0,0.679775676,3,medium,6,0.534243882,1,181.9940617,0
engineering,0,0.594446867,3,medium,5,0.645187398,0,181.4063371,0
retail,0,0.75003543,3,medium,8,0.687838553,0,187.7717882,1
IT,1,0.548149886,3,medium,6,0.76120769,1,182.4726029,0
sales,0,0.703990335,3,high,8,0.361538217,0,189.1703361,0
operations,0,0.808465147,4,medium,9,0.589794908,0,190.5485934,0
logistics,0,0.598129963,3,medium,7,0.668669458,0,187.0985661,1
sales,0,0.71323046,4,medium,7,0.416083264,1,186.5017222,0
operations,0,0.722693762,4,medium,6,0.453059545,0,183.0978499,1
logistics,0,0.509006771,3,medium,8,0.429774944,0,188.1708146,1
operations,1,0.531061596,3,low,5,0.699588222,1,180.9283714,0
marketing,0,0.64562022,3,medium,7,0.359063727,0,184.915479,1
IT,0,0.69541784,3,medium,8,0.443519405,0,189.5878128,0
retail,0,0.521056458,3,medium,7,0.71124956,0,186.3323966,1
finance,0,0.779205471,3,medium,7,0.194073506,0,186.7361473,1
finance,0,0.708078159,3,medium,8,0.570677892,0,188.1041083,1
sales,0,0.64609142,4,high,8,0.431874443,0,189.8788715,0
retail,0,0.716449881,3,low,6,0.568322356,1,182.4305028,0
operations,0,0.746154377,3,low,6,0.409506278,1,181.5559886,0
operations,0,0.593715527,3,medium,7,0.313025367,0,186.0453618,0
sales,0,0.639249264,3,low,6,0.621913066,1,181.984977,0
sales,0,0.595472965,4,medium,7,0.675201894,0,186.6432888,1
retail,0,0.633452653,3,medium,6,0.479149833,0,183.8808129,0
marketing,0,0.707986603,3,high,7,0.427928268,0,185.7832238,0
support,0,0.607535472,3,medium,8,0.623866018,0,187.8185108,1
engineering,0,0.750400054,3,high,8,0.444381667,0,187.6423219,0
sales,0,0.608990603,4,medium,6,0.275533036,0,181.60656,0
sales,0,0.739321484,3,low,5,0.466230974,0,180.7628222,1
sales,0,0.756863073,3,medium,5,0.4899847,0,181.3519938,0
sales,0,0.577723472,2,medium,6,0.248351632,0,182.543842,0
support,0,0.744131974,3,high,6,0.418853148,0,182.7835612,0
sales,0,0.723750683,3,medium,8,0.725621483,0,188.0212744,1
retail,0,0.658591068,4,medium,6,0.580510214,1,183.5446829,0
engineering,0,0.706973609,3,medium,8,0.47018796,0,189.4690863,0
